fasta_id,best_hit_id
sp|Q9D6K5|SYJ2B_MOUSE,2XKX_B
sp|Q0VBD2|MCM10_MOUSE,3H15_A
sp|Q91WS2|NLRP6_MOUSE,7VTQ_K
sp|Q9JJW0|PXMP4_MOUSE,6TMK_D
tr|A0A2I3BRW3|A0A2I3BRW3_MOUSE,7BVQ_B
sp|Q91ZM8|CABP7_MOUSE,7JTK_M
sp|Q9CRT8|XPOT_MOUSE,3ICQ_T
tr|Q8VEY6|Q8VEY6_MOUSE,7JOZ_R
sp|Q9EPK2|XRP2_MOUSE,3BH7_B
sp|Q62255|SALL3_MOUSE,6QNX_C
sp|P28828|PTPRM_MOUSE,1YGU_B
